"x","y"
-106.75,36.75
-106.25,36.75
-105.75,36.75
-105.25,36.75
-104.75,36.75
-104.25,36.75
-103.75,36.75
-103.25,36.75
-102.75,36.75
-102.25,36.75
-101.75,36.75
-101.25,36.75
-100.75,36.75
-100.25,36.75
-99.75,36.75
-99.25,36.75
-98.75,36.75
-98.25,36.75
-97.75,36.75
-97.25,36.75
-96.75,36.75
-96.25,36.75
-95.75,36.75
-95.25,36.75
-94.75,36.75
-94.25,36.75
-93.75,36.75
-93.25,36.75
-92.75,36.75
-92.25,36.75
-91.75,36.75
-91.25,36.75
-90.75,36.75
-90.25,36.75
-89.75,36.75
-89.25,36.75
-88.75,36.75
-88.25,36.75
-87.75,36.75
-87.25,36.75
-86.75,36.75
-86.25,36.75
-85.75,36.75
-85.25,36.75
-84.75,36.75
-84.25,36.75
-83.75,36.75
-83.25,36.75
-82.75,36.75
-82.25,36.75
-81.75,36.75
-81.25,36.75
-80.75,36.75
-80.25,36.75
-79.75,36.75
-79.25,36.75
-78.75,36.75
-78.25,36.75
-77.75,36.75
-77.25,36.75
-76.75,36.75
-76.25,36.75
-75.75,36.75
-121.75,36.25
-121.25,36.25
-120.75,36.25
-120.25,36.25
-119.75,36.25
-119.25,36.25
-118.75,36.25
-118.25,36.25
-117.75,36.25
-117.25,36.25
-116.75,36.25
-116.25,36.25
-115.75,36.25
-115.25,36.25
-114.75,36.25
-114.25,36.25
-113.75,36.25
-113.25,36.25
-112.75,36.25
-112.25,36.25
-111.75,36.25
-111.25,36.25
-110.75,36.25
-110.25,36.25
-109.75,36.25
-109.25,36.25
-108.75,36.25
-108.25,36.25
-107.75,36.25
-107.25,36.25
-106.75,36.25
-106.25,36.25
-105.75,36.25
-105.25,36.25
-104.75,36.25
-104.25,36.25
-103.75,36.25
-103.25,36.25
-102.75,36.25
-102.25,36.25
-101.75,36.25
-101.25,36.25
-100.75,36.25
-100.25,36.25
-99.75,36.25
-99.25,36.25
-98.75,36.25
-98.25,36.25
-97.75,36.25
-97.25,36.25
-96.75,36.25
-96.25,36.25
-95.75,36.25
-95.25,36.25
-94.75,36.25
-94.25,36.25
-93.75,36.25
-93.25,36.25
-92.75,36.25
-92.25,36.25
-91.75,36.25
-91.25,36.25
-90.75,36.25
-90.25,36.25
-89.75,36.25
-89.25,36.25
-88.75,36.25
-88.25,36.25
-87.75,36.25
-87.25,36.25
-86.75,36.25
-86.25,36.25
-85.75,36.25
-85.25,36.25
-84.75,36.25
-84.25,36.25
-83.75,36.25
-83.25,36.25
-82.75,36.25
-82.25,36.25
-81.75,36.25
-81.25,36.25
-80.75,36.25
-80.25,36.25
-79.75,36.25
-79.25,36.25
-78.75,36.25
-78.25,36.25
-77.75,36.25
-77.25,36.25
-76.75,36.25
-76.25,36.25
-75.75,36.25
-121.25,35.75
-120.75,35.75
-120.25,35.75
-119.75,35.75
-119.25,35.75
-118.75,35.75
-118.25,35.75
-117.75,35.75
-117.25,35.75
-116.75,35.75
-116.25,35.75
-115.75,35.75
-115.25,35.75
-114.75,35.75
-114.25,35.75
-113.75,35.75
-113.25,35.75
-112.75,35.75
-112.25,35.75
-111.75,35.75
-111.25,35.75
-110.75,35.75
-110.25,35.75
-109.75,35.75
-109.25,35.75
-108.75,35.75
-108.25,35.75
-107.75,35.75
-107.25,35.75
-106.75,35.75
-106.25,35.75
-105.75,35.75
-105.25,35.75
-104.75,35.75
-104.25,35.75
-103.75,35.75
-103.25,35.75
-102.75,35.75
-102.25,35.75
-101.75,35.75
-101.25,35.75
-100.75,35.75
-100.25,35.75
-99.75,35.75
-99.25,35.75
-98.75,35.75
-98.25,35.75
-97.75,35.75
-97.25,35.75
-96.75,35.75
-96.25,35.75
-95.75,35.75
-95.25,35.75
-94.75,35.75
-94.25,35.75
-93.75,35.75
-93.25,35.75
-92.75,35.75
-92.25,35.75
-91.75,35.75
-91.25,35.75
-90.75,35.75
-90.25,35.75
-89.75,35.75
-89.25,35.75
-88.75,35.75
-88.25,35.75
-87.75,35.75
-87.25,35.75
-86.75,35.75
-86.25,35.75
-85.75,35.75
-85.25,35.75
-84.75,35.75
-84.25,35.75
-83.75,35.75
-83.25,35.75
-82.75,35.75
-82.25,35.75
-81.75,35.75
-81.25,35.75
-80.75,35.75
-80.25,35.75
-79.75,35.75
-79.25,35.75
-78.75,35.75
-78.25,35.75
-77.75,35.75
-77.25,35.75
-76.75,35.75
-76.25,35.75
-75.75,35.75
-75.25,35.75
-121.25,35.25
-120.75,35.25
-120.25,35.25
-119.75,35.25
-119.25,35.25
-118.75,35.25
-118.25,35.25
-117.75,35.25
-117.25,35.25
-116.75,35.25
-116.25,35.25
-115.75,35.25
-115.25,35.25
-114.75,35.25
-114.25,35.25
-113.75,35.25
-113.25,35.25
-112.75,35.25
-112.25,35.25
-111.75,35.25
-111.25,35.25
-110.75,35.25
-110.25,35.25
-109.75,35.25
-109.25,35.25
-108.75,35.25
-108.25,35.25
-107.75,35.25
-107.25,35.25
-106.75,35.25
-106.25,35.25
-105.75,35.25
-105.25,35.25
-104.75,35.25
-104.25,35.25
-103.75,35.25
-103.25,35.25
-102.75,35.25
-102.25,35.25
-101.75,35.25
-101.25,35.25
-100.75,35.25
-100.25,35.25
-99.75,35.25
-99.25,35.25
-98.75,35.25
-98.25,35.25
-97.75,35.25
-97.25,35.25
-96.75,35.25
-96.25,35.25
-95.75,35.25
-95.25,35.25
-94.75,35.25
-94.25,35.25
-93.75,35.25
-93.25,35.25
-92.75,35.25
-92.25,35.25
-91.75,35.25
-91.25,35.25
-90.75,35.25
-90.25,35.25
-89.75,35.25
-89.25,35.25
-88.75,35.25
-88.25,35.25
-87.75,35.25
-87.25,35.25
-86.75,35.25
-86.25,35.25
-85.75,35.25
-85.25,35.25
-84.75,35.25
-84.25,35.25
-83.75,35.25
-83.25,35.25
-82.75,35.25
-82.25,35.25
-81.75,35.25
-81.25,35.25
-80.75,35.25
-80.25,35.25
-79.75,35.25
-79.25,35.25
-78.75,35.25
-78.25,35.25
-77.75,35.25
-77.25,35.25
-76.75,35.25
-76.25,35.25
-75.75,35.25
-75.25,35.25
-120.75,34.75
-120.25,34.75
-119.75,34.75
-119.25,34.75
-118.75,34.75
-118.25,34.75
-117.75,34.75
-117.25,34.75
-116.75,34.75
-116.25,34.75
-115.75,34.75
-115.25,34.75
-114.75,34.75
-114.25,34.75
-113.75,34.75
-113.25,34.75
-112.75,34.75
-112.25,34.75
-111.75,34.75
-111.25,34.75
-110.75,34.75
-110.25,34.75
-109.75,34.75
-109.25,34.75
-108.75,34.75
-108.25,34.75
-107.75,34.75
-107.25,34.75
-106.75,34.75
-106.25,34.75
-105.75,34.75
-105.25,34.75
-104.75,34.75
-104.25,34.75
-103.75,34.75
-103.25,34.75
-102.75,34.75
-102.25,34.75
-101.75,34.75
-101.25,34.75
-100.75,34.75
-100.25,34.75
-99.75,34.75
-99.25,34.75
-98.75,34.75
-98.25,34.75
-97.75,34.75
-97.25,34.75
-96.75,34.75
-96.25,34.75
-95.75,34.75
-95.25,34.75
-94.75,34.75
-94.25,34.75
-93.75,34.75
-93.25,34.75
-92.75,34.75
-92.25,34.75
-91.75,34.75
-91.25,34.75
-90.75,34.75
-90.25,34.75
-89.75,34.75
-89.25,34.75
-88.75,34.75
-88.25,34.75
-87.75,34.75
-87.25,34.75
-86.75,34.75
-86.25,34.75
-85.75,34.75
-85.25,34.75
-84.75,34.75
-84.25,34.75
-83.75,34.75
-83.25,34.75
-82.75,34.75
-82.25,34.75
-81.75,34.75
-81.25,34.75
-80.75,34.75
-80.25,34.75
-79.75,34.75
-79.25,34.75
-78.75,34.75
-78.25,34.75
-77.75,34.75
-77.25,34.75
-76.75,34.75
-76.25,34.75
-120.25,34.25
-119.75,34.25
-119.25,34.25
-118.75,34.25
-118.25,34.25
-117.75,34.25
-117.25,34.25
-116.75,34.25
-116.25,34.25
-115.75,34.25
-115.25,34.25
-114.75,34.25
-114.25,34.25
-113.75,34.25
-113.25,34.25
-112.75,34.25
-112.25,34.25
-111.75,34.25
-111.25,34.25
-110.75,34.25
-110.25,34.25
-109.75,34.25
-109.25,34.25
-108.75,34.25
-108.25,34.25
-107.75,34.25
-107.25,34.25
-106.75,34.25
-106.25,34.25
-105.75,34.25
-105.25,34.25
-104.75,34.25
-104.25,34.25
